-8000	0
-7996.09	37
-7992.19	0
-7988.28	17
-7984.38	0
-7980.47	13
-7976.56	0
-7972.66	14
-7968.75	0
-7964.84	13
-7960.94	0
-7957.03	11
-7953.12	0
-7949.22	11
-7945.31	0
-7941.41	10
-7937.5	0
-7933.59	11
-7929.69	0
-7925.78	11
-7921.88	0
-7917.97	10
-7914.06	0
-7910.16	9
-7906.25	0
-7902.34	10
-7898.44	0
-7894.53	11
-7890.62	0
-7886.72	10
-7882.81	0
-7878.91	10
-7875	0
-7871.09	10
-7867.19	0
-7863.28	9
-7859.38	0
-7855.47	10
-7851.56	0
-7847.66	10
-7843.75	0
-7839.84	9
-7835.94	0
-7832.03	0
-7828.12	0
-7824.22	9
-7820.31	0
-7816.41	10
-7812.5	0
-7808.59	10
-7804.69	0
-7800.78	11
-7796.88	0
-7792.97	9
-7789.06	0
-7785.16	2
-7781.25	0
-7777.34	9
-7773.44	0
-7769.53	10
-7765.62	0
-7761.72	3
-7757.81	0
-7753.91	2
-7750	0
-7746.09	9
-7742.19	0
-7738.28	10
-7734.38	0
-7730.47	9
-7726.56	0
-7722.66	9
-7718.75	0
-7714.84	9
-7710.94	0
-7707.03	9
-7703.12	0
-7699.22	10
-7695.31	0
-7691.41	10
-7687.5	0
-7683.59	9
-7679.69	0
-7675.78	4
-7671.88	0
-7667.97	3
-7664.06	0
-7660.16	9
-7656.25	0
-7652.34	10
-7648.44	0
-7644.53	9
-7640.62	0
-7636.72	9
-7632.81	0
-7628.91	3
-7625	0
-7621.09	10
-7617.19	0
-7613.28	3
-7609.38	0
-7605.47	10
-7601.56	0
-7597.66	10
-7593.75	0
-7589.84	3
-7585.94	0
-7582.03	9
-7578.12	0
-7574.22	9
-7570.31	0
-7566.41	9
-7562.5	0
-7558.59	9
-7554.69	0
-7550.78	10
-7546.88	0
-7542.97	9
-7539.06	0
-7535.16	9
-7531.25	0
-7527.34	10
-7523.44	0
-7519.53	9
-7515.62	0
-7511.72	10
-7507.81	0
-7503.91	3
-7500	0
-7496.09	12
-7492.19	0
-7488.28	10
-7484.38	0
-7480.47	9
-7476.56	0
-7472.66	9
-7468.75	0
-7464.84	10
-7460.94	0
-7457.03	9
-7453.12	0
-7449.22	3
-7445.31	0
-7441.41	3
-7437.5	0
-7433.59	3
-7429.69	0
-7425.78	2
-7421.88	0
-7417.97	9
-7414.06	0
-7410.16	9
-7406.25	0
-7402.34	9
-7398.44	0
-7394.53	9
-7390.62	0
-7386.72	9
-7382.81	0
-7378.91	3
-7375	0
-7371.09	10
-7367.19	0
-7363.28	10
-7359.38	0
-7355.47	9
-7351.56	0
-7347.66	10
-7343.75	0
-7339.84	9
-7335.94	0
-7332.03	9
-7328.12	0
-7324.22	3
-7320.31	0
-7316.41	9
-7312.5	0
-7308.59	9
-7304.69	0
-7300.78	9
-7296.88	0
-7292.97	9
-7289.06	0
-7285.16	9
-7281.25	0
-7277.34	9
-7273.44	0
-7269.53	10
-7265.62	0
-7261.72	9
-7257.81	0
-7253.91	9
-7250	0
-7246.09	9
-7242.19	0
-7238.28	9
-7234.38	0
-7230.47	9
-7226.56	0
-7222.66	9
-7218.75	0
-7214.84	10
-7210.94	0
-7207.03	9
-7203.12	0
-7199.22	2
-7195.31	0
-7191.41	9
-7187.5	0
-7183.59	9
-7179.69	0
-7175.78	9
-7171.88	0
-7167.97	9
-7164.06	0
-7160.16	9
-7156.25	0
-7152.34	9
-7148.44	0
-7144.53	4
-7140.62	0
-7136.72	9
-7132.81	0
-7128.91	9
-7125	0
-7121.09	2
-7117.19	0
-7113.28	10
-7109.38	0
-7105.47	9
-7101.56	0
-7097.66	9
-7093.75	0
-7089.84	3
-7085.94	0
-7082.03	9
